U+1F530	japanese_symbol_for_beginner
U+1F531	trident_emblem
U+1F532	black_square_button
U+1F533	white_square_button
U+1F534	red_circle
U+1F535	blue_circle
U+1F536	large_orange_diamond
U+1F537	large_blue_diamond
U+1F538	small_orange_diamond
U+1F539	small_blue_diamond
U+1F53A	red_triangle_pointed_up
U+1F53B	red_triangle_pointed_down
U+1F53C	upwards_button
U+1F53D	downwards_button
U+1F549	om
U+1F54A	dove
U+1F54B	kaaba
U+1F54C	mosque
U+1F54D	synagogue
U+1F54E	menorah
U+1F550	one_oclock
U+1F551	two_oclock
U+1F552	three_oclock
U+1F553	four_oclock
U+1F554	five_oclock
U+1F555	six_oclock
U+1F556	seven_oclock
U+1F557	eight_oclock
U+1F558	nine_oclock
U+1F559	ten_oclock
U+1F55A	eleven_oclock
U+1F55B	twelve_oclock
U+1F55C	one_thirty
U+1F55D	two_thirty
U+1F55E	three_thirty
U+1F55F	four_thirty
U+1F560	five_thirty
U+1F561	six_thirty
U+1F562	seven_thirty
U+1F563	eight_thirty
U+1F564	nine_thirty
U+1F565	ten_thirty
U+1F566	eleven_thirty
U+1F567	twelve_thirty
U+1F56F	candle
U+1F570	mantelpiece_clock
U+1F573	hole
U+1F574	person_in_suit_levitating
U+1F575	detective
U+1F576	sunglasses
U+1F577	spider
U+1F578	spider_web
U+1F579	joystick
U+1F57A	man_dancing
U+1F587	linked_paperclips
U+1F58A	pen
U+1F58B	fountain_pen
U+1F58C	paintbrush
U+1F58D	crayon
U+1F590	hand_with_fingers_splayed
U+1F595	middle_finger
U+1F596	vulcan_salute
U+1F5A4	black_heart
U+1F5A5	desktop_computer
U+1F5A8	printer
U+1F5B1	computer_mouse
U+1F5B2	trackball
U+1F5BC	framed_picture
U+1F5C2	card_index_dividers
U+1F5C3	card_file_box
U+1F5C4	file_cabinet
U+1F5D1	wastebasket
U+1F5D2	spiral_notepad
U+1F5D3	spiral_calendar
U+1F5DC	clamp
U+1F5DD	old_key
U+1F5DE	rolled_up_newspaper
U+1F5E1	dagger
U+1F5E3	speaking_head
U+1F5E8	left_speech_bubble
U+1F5EF	right_anger_bubble
U+1F5F3	ballot_box_with_ballot
U+1F5FA	world_map
U+1F5FB	mount_fuji
U+1F5FC	tokyo_tower
U+1F5FD	statue_of_liberty
U+1F5FE	map_of_japan
U+1F5FF	moai
U+1F600	grinning_face
U+1F601	beaming_face_with_smiling_eyes
U+1F602	face_with_tears_of_joy
U+1F603	grinning_face_with_big_eyes
U+1F604	grinning_face_with_smiling_eyes
U+1F605	grinning_face_with_sweat
U+1F606	grinning_squinting_face
U+1F607	smiling_face_with_halo
U+1F608	smiling_face_with_horns
U+1F609	winking_face
U+1F60A	smiling_face_with_smiling_eyes
U+1F60B	face_savoring_food
U+1F60C	relieved_face
U+1F60D	smiling_face_with_heart_eyes
U+1F60E	smiling_face_with_sunglasses
U+1F60F	smirking_face
U+1F610	neutral_face
U+1F611	expressionless_face
U+1F612	unamused_face
U+1F613	downcast_face_with_sweat
U+1F614	pensive_face
U+1F615	confused_face
U+1F616	confounded_face
U+1F617	kissing_face
U+1F618	face_blowing_a_kiss
U+1F619	kissing_face_with_smiling_eyes
U+1F61A	kissing_face_with_closed_eyes
U+1F61B	face_with_tongue
U+1F61C	winking_face_with_tongue
U+1F61D	squinting_face_with_tongue
U+1F61E	disappointed_face
U+1F61F	worried_face
U+1F620	angry_face
U+1F621	enraged_face
U+1F622	crying_face
U+1F623	persevering_face
U+1F624	face_with_steam_from_nose
U+1F625	sad_but_relieved_face
U+1F626	frowning_face_with_open_mouth
U+1F627	anguished_face
U+1F628	fearful_face
U+1F629	weary_face
U+1F62A	sleepy_face
U+1F62B	tired_face
U+1F62C	grimacing_face
U+1F62D	loudly_crying_face
U+1F62E	face_with_open_mouth
U+1F62F	hushed_face
U+1F630	anxious_face_with_sweat
U+1F631	face_screaming_in_fear
U+1F632	astonished_face
U+1F633	flushed_face
U+1F634	sleeping_face
U+1F635	face_with_crossed_out_eyes
U+1F636	face_without_mouth
U+1F637	face_with_medical_mask
U+1F638	grinning_cat_with_smiling_eyes
U+1F639	cat_with_tears_of_joy
U+1F63A	grinning_cat
U+1F63B	smiling_cat_with_heart_eyes
U+1F63C	cat_with_wry_smile
U+1F63D	kissing_cat
U+1F63E	pouting_cat
U+1F63F	crying_cat
U+1F640	weary_cat
U+1F641	slightly_frowning_face
U+1F642	slightly_smiling_face
U+1F643	upside_down_face
U+1F644	face_with_rolling_eyes
U+1F645	person_gesturing_no
U+1F646	person_gesturing_ok
U+1F647	person_bowing
U+1F648	see_no_evil_monkey
U+1F649	hear_no_evil_monkey
U+1F64A	speak_no_evil_monkey
U+1F64B	person_raising_hand
U+1F64C	raising_hands
U+1F64D	person_frowning
U+1F64E	person_pouting
U+1F64F	folded_hands
U+1F680	rocket
U+1F681	helicopter
U+1F682	locomotive
U+1F683	railway_car
U+1F684	high_speed_train
U+1F685	bullet_train
U+1F686	train
U+1F687	metro
U+1F688	light_rail
U+1F689	station
U+1F68A	tram
U+1F68B	tram_car
U+1F68C	bus
U+1F68D	oncoming_bus
U+1F68E	trolleybus
U+1F68F	bus_stop
U+1F690	minibus
U+1F691	ambulance
U+1F692	fire_engine
U+1F693	police_car
U+1F694	oncoming_police_car
U+1F695	taxi
U+1F696	oncoming_taxi
U+1F697	automobile
U+1F698	oncoming_automobile
U+1F699	sport_utility_vehicle
U+1F69A	delivery_truck
U+1F69B	articulated_lorry
U+1F69C	tractor
U+1F69D	monorail
U+1F69E	mountain_railway
U+1F69F	suspension_railway
U+1F6A0	mountain_cableway
U+1F6A1	aerial_tramway
U+1F6A2	ship
U+1F6A3	person_rowing_boat
U+1F6A4	speedboat
U+1F6A5	horizontal_traffic_light
U+1F6A6	vertical_traffic_light
U+1F6A7	construction
U+1F6A8	police_car_light
U+1F6A9	triangular_flag
U+1F6AA	door
U+1F6AB	prohibited
U+1F6AC	cigarette
U+1F6AD	no_smoking
U+1F6AE	litter_in_bin_sign
U+1F6AF	no_littering
U+1F6B0	potable_water
U+1F6B1	non_potable_water
U+1F6B2	bicycle
U+1F6B3	no_bicycles
U+1F6B4	person_biking
U+1F6B5	person_mountain_biking
U+1F6B6	person_walking
U+1F6B7	no_pedestrians
U+1F6B8	children_crossing
U+1F6B9	mens_room
U+1F6BA	womens_room
U+1F6BB	restroom
U+1F6BC	baby_symbol
U+1F6BD	toilet
U+1F6BE	water_closet
U+1F6BF	shower
U+1F6C0	person_taking_bath
U+1F6C1	bathtub
U+1F6C2	passport_control
U+1F6C3	customs
U+1F6C4	baggage_claim
U+1F6C5	left_luggage
U+1F6CB	couch_and_lamp
U+1F6CC	person_in_bed
U+1F6CD	shopping_bags
U+1F6CE	bellhop_bell
U+1F6CF	bed
U+1F6D0	place_of_worship
U+1F6D1	stop_sign
U+1F6D2	shopping_cart
U+1F6D5	hindu_temple
U+1F6D6	hut
U+1F6D7	elevator
U+1F6D8	landslide
U+1F6DC	wireless
U+1F6DD	playground_slide
U+1F6DE	wheel
U+1F6DF	ring_buoy
U+1F6E0	hammer_and_wrench
U+1F6E1	shield
U+1F6E2	oil_drum
U+1F6E3	motorway
U+1F6E4	railway_track
U+1F6E5	motor_boat
U+1F6E9	small_airplane
U+1F6EB	airplane_departure
U+1F6EC	airplane_arrival
U+1F6F0	satellite
U+1F6F3	passenger_ship
U+1F6F4	kick_scooter
U+1F6F5	motor_scooter
U+1F6F6	canoe
U+1F6F7	sled
U+1F6F8	flying_saucer
U+1F6F9	skateboard
U+1F6FA	auto_rickshaw
U+1F6FB	pickup_truck
U+1F6FC	roller_skate
U+1F7E0	orange_circle
U+1F7E1	yellow_circle
U+1F7E2	green_circle
U+1F7E3	purple_circle
U+1F7E4	brown_circle
U+1F7E5	red_square
U+1F7E6	blue_square
U+1F7E7	orange_square
U+1F7E8	yellow_square
U+1F7E9	green_square
U+1F7EA	purple_square
U+1F7EB	brown_square
U+1F7F0	heavy_equals_sign
U+1F90C	pinched_fingers
U+1F90D	white_heart
U+1F90E	brown_heart
U+1F90F	pinching_hand
U+1F910	zipper_mouth_face
U+1F911	money_mouth_face
U+1F912	face_with_thermometer
U+1F913	nerd_face
U+1F914	thinking_face
U+1F915	face_with_head_bandage
U+1F916	robot
U+1F917	smiling_face_with_open_hands
U+1F918	sign_of_the_horns
U+1F919	call_me_hand
U+1F91A	raised_back_of_hand
U+1F91B	left_facing_fist
U+1F91C	right_facing_fist
U+1F91D	handshake
U+1F91E	crossed_fingers
U+1F91F	love_you_gesture
U+1F920	cowboy_hat_face
U+1F921	clown_face
U+1F922	nauseated_face
U+1F923	rolling_on_the_floor_laughing
U+1F924	drooling_face
U+1F925	lying_face
U+1F926	person_facepalming
U+1F927	sneezing_face
U+1F928	face_with_raised_eyebrow
U+1F929	star_struck
U+1F92A	zany_face
U+1F92B	shushing_face
U+1F92C	face_with_symbols_on_mouth
U+1F92D	face_with_hand_over_mouth
U+1F92E	face_vomiting
U+1F92F	exploding_head
U+1F930	pregnant_woman
U+1F931	breast_feeding
U+1F932	palms_up_together
U+1F933	selfie
U+1F934	prince
U+1F935	person_in_tuxedo
U+1F936	mrs_claus
U+1F937	person_shrugging
U+1F938	person_cartwheeling
U+1F939	person_juggling
U+1F93A	person_fencing
U+1F93C	people_wrestling
U+1F93D	person_playing_water_polo
U+1F93E	person_playing_handball
U+1F93F	diving_mask
U+1F940	wilted_flower
U+1F941	drum
U+1F942	clinking_glasses
U+1F943	tumbler_glass
U+1F944	spoon
U+1F945	goal_net
U+1F947	e_1st_place_medal
U+1F948	e_2nd_place_medal
U+1F949	e_3rd_place_medal
U+1F94A	boxing_glove
U+1F94B	martial_arts_uniform
U+1F94C	curling_stone
U+1F94D	lacrosse
U+1F94E	softball
U+1F94F	flying_disc
U+1F950	croissant
U+1F951	avocado
